context,source,target,developer_comments
term-02,stage,stage,"A group of parts activated together, and the act of separating them. Both noun and verb appear in the UI."
term-03,staging,staging,"The ordered list of stages, and the system that fires them in sequence."
term-04,activation group,activation group,A numbered group of parts toggled together by the player. Always paired with a number in the UI.
term-05,command pod,command pod,"The part that gives a craft control. Deliberately broad: it may be a crewed space capsule, a bare probe chip, or an open seat with a Drood sitting in it. Do not narrow it to 'capsule' or 'cockpit' - a craft without one cannot be steered, and that is the point of the term."
term-06,subassembly,subassembly,"A saved cluster of parts reused across craft. One word in this game, not 'sub-assembly'."
term-07,Designer,Designer,The build-mode scene where craft are assembled. Capitalised when naming the scene.
term-08,Tech Tree,Tech Tree,The career-mode progression screen where parts and features are unlocked.
term-09,Tech Points,Tech Points,"The career-mode currency spent to unlock nodes in the Tech Tree, earned by flying and completing objectives. Abbreviated TP directly after the number, as in '250TP'. Keep the abbreviation."
term-10,Sandbox,Sandbox,"A game mode: everything unlocked, no funds, no objectives. A mode name."
term-11,Career,Career,"A game mode: contracts, funds, and parts unlocked through the Tech Tree. A mode name."
term-12,Hybrid,Hybrid,"A game mode, sitting between Sandbox and Career: it starts with all parts unlocked, a large amount of money, and cheats available, while keeping career features. A mode name. Do not confuse it with 'Hybrid Jets', which is an engine type and unrelated."
term-13,contract,contract,A career-mode job offering a reward for completing objectives.
term-14,payload,payload,"In career mode this is a precise term, not a general one: the specific part a contract requires a craft to carry to its objective. The UI warns when it is missing from the craft, so translate it as a definite, identifiable part rather than as 'cargo' in general."
term-15,nav sphere,nav sphere,The navigation ball showing the craft's orientation and manoeuvre directions.
term-16,throttle,throttle,"The engine power control, as noun and verb."
term-17,thrust,thrust,The force an engine produces.
term-18,drag,drag,Aerodynamic resistance opposing motion through an atmosphere.
term-19,lift,lift,The aerodynamic force a wing generates perpendicular to airflow.
term-20,Delta-V,Delta-V,"The total velocity change a craft can produce. Keep the hyphen and both capitals; it is a standard aerospace term, not a coined one."
term-21,Isp,Isp,Specific impulse - a measure of engine efficiency. An abbreviation; keep it as 'Isp' unless your language has an established equivalent.
term-22,RCS,RCS,Reaction Control System - the small thrusters used for fine attitude control. Keep the abbreviation.
term-23,orbit,orbit,"The path of a craft around a celestial body, as noun and verb."
term-24,Apoapsis,Apoapsis,The highest point of an orbit. Standard orbital mechanics term - use your language's established astronomical word if it has one.
term-25,Periapsis,Periapsis,The lowest point of an orbit. Standard orbital mechanics term.
term-26,Inclination,Inclination,"The tilt of an orbit relative to the body's equator, in degrees. Standard orbital mechanics term."
term-27,Eccentricity,Eccentricity,"How far an orbit departs from a circle: 0 is circular, approaching 1 is a long ellipse. Standard orbital mechanics term."
term-28,Semi-Major Axis,Semi-Major Axis,Half the long axis of an elliptical orbit - the standard measure of its size.
term-29,Ascending Node,Ascending Node,The point where an orbit crosses the reference plane going north. Standard orbital mechanics term.
term-30,True Anomaly,True Anomaly,"The craft's angular position along its orbit, measured from periapsis. Standard orbital mechanics term."
term-31,Sphere of Influence,Sphere of Influence,The region where a celestial body's gravity dominates. Often abbreviated SOI in English text.
term-32,celestial body,celestial body,"Any planet, moon, star, comet or asteroid. The neutral umbrella term."
term-33,atmosphere,atmosphere,"The gas layer around a body, which produces drag and allows air-breathing engines."
term-34,re-entry,re-entry,"Returning through an atmosphere at high speed, generating heat."
term-35,fuel tank,fuel tank,A part storing propellant.
term-36,propellant,propellant,The consumable an engine burns. Prefer the specific fuel name where the English uses one.
term-37,launch location,launch location,"A place a craft can be launched from - the built-in sites and any spot the player saves for reuse. Each has size and weight limits a craft must fit within, so it is a specific named location, not scenery."
term-38,crew,crew,The Droods aboard a craft. Collective noun.
term-39,funds,funds,"The career-mode currency used to buy parts and launch craft, distinct from Tech Points. Plural in English."
